"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AT1G01110" 7.54356703375959 -5.95299334184319 1.36154877089101 -4.37222189106563 1.22988432369876e-05 5.74526985880637e-05
"AT1G01180" 35.1351691768974 -1.92444396372217 0.451058434183909 -4.26650699305518 1.98557273762864e-05 8.91117835780653e-05
"AT1G01250" 19.5526743865539 -7.32418888979738 1.25377903736361 -5.84169033899176 5.16737927696691e-09 4.03059127759302e-08
"AT1G01300" 92.2526101197664 -1.83967793310947 0.279874428947903 -6.57322621443175 4.92365660781298e-11 4.73724913471685e-10
"AT1G01380" 6.77682839780372 -5.79645039716874 1.38581753083062 -4.18269380218803 2.880752643004e-05 0.000125354350229818
"AT1G01390" 7.65128827358264 -5.97099947086303 1.35947890287413 -4.39212367197423 1.12248814693708e-05 5.28810954889888e-05
"AT1G01420" 23.3878914942723 -7.58594389063072 1.24821842407463 -6.07741701638044 1.22133847974867e-09 1.02431208414025e-08
"AT1G01500" 17.374113584516 -3.35479505805119 0.694872479093744 -4.82792909344536 1.37960194540762e-06 7.60704151473848e-06
"AT1G01580" 24.9561050255234 -5.79198920543273 1.08797045886767 -5.32366403722109 1.01697658814877e-07 6.71566690238322e-07
"AT1G01620" 3138.57826606248 1.6251956831237 0.0927173416438209 17.5284974127816 8.68339584478797e-69 4.08910638695036e-67
"AT1G01720" 1184.65611485323 2.48899061906416 0.0940734520543029 26.4579492376597 2.95587267128772e-154 3.08400568387336e-152
"AT1G01830" 409.213898840559 3.02456905679858 0.148848277978332 20.3198122133389 8.59043346562909e-92 5.21038424468623e-90
"AT1G01940" 1275.88835120394 4.96464803558784 0.120794343424459 41.1000043118126 0 0
"AT1G02000" 109.30375709777 2.0590388299509 0.216874209616435 9.49416177051446 2.21990139801394e-21 3.89896967550788e-20
"AT1G02090" 839.07896207064 2.67294150481549 0.102953996394856 25.9624842008469 1.31439802427873e-148 1.30550144376505e-146
"AT1G02260" 41.5306354747603 -1.97878649064684 0.376120729546159 -5.26104076484835 1.4324226900365e-07 9.20872077017528e-07
"AT1G02290" 102.637987745564 2.88824555358408 0.26165483593454 11.0383801746613 2.49490177013955e-28 5.65204589261195e-27
"AT1G02340" 58.6497215653052 1.55403004323911 0.314291397547239 4.94455163382425 7.63193120866432e-07 4.4013254396823e-06
"AT1G02640" 99.0607740863227 1.83518474343205 0.268113029688155 6.84481744720341 7.65734551836624e-12 7.88082913191132e-11
"AT1G02660" 27.8913202576893 1.93375869027685 0.40865181415831 4.73204479529784 2.22269344635711e-06 1.18729831933754e-05
"AT1G02700" 275.490268582286 6.27140762513375 0.303612708188904 20.6559457360782 8.63144545790624e-95 5.45339519277993e-93
"AT1G02730" 47.800440222102 -4.23050476062241 0.523926801257074 -8.07461032814513 6.7692470551938e-16 9.2918843856598e-15
"AT1G02810" 19.4422415341404 -4.04490813669564 0.785273122955504 -5.1509570599742 2.59160525996742e-07 1.61014454641224e-06
"AT1G02820" 266.290725548588 -3.47280244439169 0.231135046602587 -15.0249929443319 5.03667043340056e-51 1.86578288286149e-49
"AT1G02980" 48.5835884139502 8.51459189558822 1.22033282094809 6.97727025728367 3.00970413260521e-12 3.21086869118693e-11
"AT1G03055" 65.1986360588293 -1.91712190428567 0.301145705712481 -6.36609411298081 1.93902482585215e-10 1.76130669584693e-09
"AT1G03070" 4969.53136786589 8.65167692318346 0.895713853420587 9.65897411337795 4.50351086594205e-22 8.14895422799141e-21
"AT1G03140" 571.319394674596 1.73669415530785 0.106056725939397 16.3751439611689 2.87825614360779e-60 1.22137940273058e-58
"AT1G03180" 62.1512860026798 2.77487952989424 0.309124404785307 8.97657864257419 2.79317151174501e-19 4.51212258768752e-18
"AT1G03410" 96.3413999233598 -2.02655522912928 0.246622150728619 -8.21724740921298 2.08227204205429e-16 2.9526981045215e-15
"AT1G03420" 72.351920894631 -2.37579240828115 0.291868722450539 -8.13993492805233 3.95490397479697e-16 5.5152845436393e-15
"AT1G03430" 48.9064314546418 -1.70669843135972 0.332254810938456 -5.13671548212994 2.7958173991641e-07 1.72707405605615e-06
"AT1G03740" 42.4126228254205 -1.62935987461907 0.347921423748705 -4.68312602616823 2.82532682244756e-06 1.48617156745073e-05
"AT1G03780" 26.1347272727563 -2.57399491731752 0.515768945880839 -4.99059692886628 6.01929860279197e-07 3.52265734529457e-06
"AT1G03820" 141.159537764329 -1.69637348419684 0.209670186549835 -8.09067570411894 5.93346393050764e-16 8.17423604478475e-15
"AT1G03850" 126.878317261419 1.51885093889561 0.212328665606592 7.15330139035384 8.47153211974601e-13 9.53886129027837e-12
"AT1G03860" 844.436290049464 2.86391016267699 0.109439614194158 26.1688620136772 6.0126341392205e-151 6.13261719715562e-149
"AT1G03970" 304.643930351892 2.18658891640923 0.151008777447098 14.4798796028611 1.62381349911622e-47 5.63872336448832e-46
"AT1G04000" 40.8783263667633 -1.60496386782121 0.363547857029889 -4.41472515044768 1.01138405286602e-05 4.80951918930329e-05
"AT1G04020" 22.3821965989897 -5.03127348024689 0.926473009388087 -5.4305667075719 5.6175375907418e-08 3.85432556565376e-07
"AT1G04107" 11.2289873967853 -5.5366993541292 1.30086083185236 -4.2561811521723 2.07948239857027e-05 9.30876346299561e-05
"AT1G04110" 6.10579925710045 -5.65427970203515 1.40986241437321 -4.0105187884939 6.05854787835629e-05 0.000247000665877781
"AT1G04130" 411.46805848056 3.96871953213628 0.149948842666738 26.467156808651 2.3158832111217e-154 2.42740846253286e-152
"AT1G04183" 88.0873605841427 -2.11135208606904 0.258494740926742 -8.16787250100148 3.13875376252323e-16 4.3987032858035e-15
"AT1G04233" 82.466236154374 2.350805500526 0.253379354338608 9.27780997256965 1.72997708513211e-20 2.94083174897832e-19
"AT1G04280" 119.76990070078 -1.68659487733814 0.216645435668919 -7.78504689992924 6.96873516036446e-15 9.02127952319235e-14
"AT1G04330" 15.4042443655954 -5.08094855560555 1.13083054993813 -4.49311221374727 7.0189775060516e-06 3.44958174967899e-05
"AT1G04425" 33.6226408045632 -2.08492491741676 0.419364622773173 -4.97162803965099 6.63929935773207e-07 3.8631584520751e-06
"AT1G04433" 27.9345805752438 -4.0984897254569 0.673078538593594 -6.08917011976158 1.13497466993186e-09 9.53991088972661e-09
"AT1G04503" 216.583682855538 -1.58392363982789 0.228901266678908 -6.91968053654217 4.52663273442457e-12 4.7621767596895e-11
"AT1G04520" 57.9508466258378 -1.66894357048512 0.307322529669096 -5.43059297436516 5.61671076313636e-08 3.85432556565376e-07
"AT1G04570" 25.2447094723913 6.70545143165627 1.1121575502785 6.02922799020438 1.6474474297186e-09 1.3620934856034e-08
"AT1G04737" 32.594090385725 1.95698772746534 0.430432836617469 4.54655769955707 5.45304255330399e-06 2.72892085533332e-05
"AT1G04810" 226.712219428675 1.66895367053809 0.156500765479837 10.6641885451551 1.49700043019583e-26 3.23048147863417e-25
"AT1G04960" 244.117595993774 1.6158432142942 0.146211204923206 11.051432174045 2.15745255409989e-28 4.89244848883369e-27
"AT1G04980" 456.657676914298 3.41619113123019 0.144726160636698 23.6045170838584 3.46369804566131e-123 2.82372086195579e-121
"AT1G05017" 113.024197124067 4.44095216798407 0.321937483229515 13.7944551328248 2.75224468686263e-43 8.84178042410884e-42
