"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AT1G01110" 9.64337191769485 -6.32824709191731 1.39618353493486 -4.53253238816668 5.82807365365092e-06 2.38966602884323e-05
"AT1G01180" 40.897655124061 -1.54384452025325 0.329341244582379 -4.68767439745035 2.76327195807887e-06 1.1905415546457e-05
"AT1G01250" 21.9267501099753 -7.51043334294262 1.23307330616973 -6.09082469417178 1.12330505774467e-09 7.35924207650909e-09
"AT1G01300" 98.9083697818952 -1.71862006984985 0.21182973014589 -8.1132146496444 4.92978758529788e-16 5.291880483438e-15
"AT1G01380" 8.8545581081103 -6.20418710430002 1.43234475715322 -4.3314900782901 1.48103622506708e-05 5.66780155364798e-05
"AT1G01390" 9.74857030054815 -6.34261540746504 1.39290618407268 -4.55351227526325 5.27575916152275e-06 2.17775953544956e-05
"AT1G01420" 25.8736238120091 -7.7530945924322 1.22287972479596 -6.34003036866591 2.29719876690953e-10 1.61277175692546e-09
"AT1G01500" 22.9119036761284 -1.92038890212701 0.457162491259031 -4.20067030617108 2.661258936096e-05 9.77829335941214e-05
"AT1G01620" 3127.04893786146 1.56796753101439 0.091423224916416 17.1506477970769 6.21557130543676e-66 2.28888679856641e-64
"AT1G01720" 1179.32036336774 2.42328842072308 0.0868877392547361 27.889877691702 3.53981833239422e-171 3.36267078664476e-169
"AT1G01830" 410.06173869739 2.91869636618086 0.125333799788804 23.2873843376572 5.95087237768504e-120 3.76871029724248e-118
"AT1G01940" 1264.0535870279 4.84744974841909 0.113562573532648 42.6852755941243 0 0
"AT1G02000" 113.711989418841 1.93709663644989 0.174843196120071 11.0790507119283 1.58544573429842e-28 2.84122992234164e-27
"AT1G02090" 836.479701672828 2.59870147990625 0.0942721086035301 27.5659632355877 2.84869540659414e-167 2.69421329005153e-165
"AT1G02260" 47.3501594634494 -1.62916892360632 0.290855391455726 -5.60130212973655 2.12747546994622e-08 1.20323421665636e-07
