"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AT1G01010" 25.7045791136768 -0.754496608972787 0.384285085856388 -1.96337728613999 0.0496023510812981 0.0936177423064304
"AT1G01020" 143.051088660186 0.486701938134273 0.144742759671324 3.3625304591363 0.000772316053036006 0.00231134956754745
"AT1G01030" 8.67668618865308 -0.149685718513295 0.743921522055482 -0.201211705906434 0.840533038688674 0.883441471837429
"AT1G01040" 131.640216862309 0.111688724163481 0.151396340428801 0.737724068145534 0.460682143381073 0.578328296280791
"AT1G01050" 226.276989542766 0.0959540979350397 0.125870810400542 0.762322079517067 0.44586779918473 0.563363645795914
"AT1G01060" 1212.88004882306 -0.507463826801519 0.082539759494948 -6.14811370794676 7.84098166906942e-10 5.76457801860201e-09
"AT1G01070" 25.3111334648296 -0.772406873963485 0.38642551889528 -1.99885058360446 0.0456245228438059 0.0871265012756147
"AT1G01080" 259.577970145931 -0.417095109016792 0.124953057381494 -3.33801443323918 0.00084379366237492 0.00250584636556709
"AT1G01090" 682.093032843275 -0.181662747611518 0.10011696833366 -1.81450507975921 0.0696000013924051 0.125155604786808
"AT1G01100" 1723.33755639768 0.0634035516601701 0.114834429778067 0.552130156284192 0.58085918220239 0.678154668884297
"AT1G01110" 9.64773520364997 -6.33209017497529 1.34325818781001 -4.7139784685019 2.42926344259098e-06 1.15505784616444e-05
"AT1G01120" 164.56484872579 -0.429954884310488 0.141854016106356 -3.030967300835 0.0024377164613782 0.00652993854656014
"AT1G01130" 6.50811991839678 -2.71774265348378 1.10503430770036 -2.45941925471939 0.0139161997757211 0.0310321664769643
"AT1G01140" 272.735484117647 0.457159940898824 0.124029111253815 3.68590838293829 0.000227888327972118 0.000766080192629139
"AT1G01150" 0 NA NA NA NA NA
"AT1G01160" 421.733662303898 0.467197192190093 0.104881785263765 4.45451220166731 8.40841473713066e-06 3.67072909536178e-05
"AT1G01170" 605.561400834186 0.140961536081777 0.11045015627621 1.27624569157934 0.201868681391705 0.30309415449739
"AT1G01180" 40.8868022545267 -1.54742877058452 0.330638519700149 -4.68012248538936 2.86703578704766e-06 1.346893700625e-05
"AT1G01190" 9.7335405304829 -2.16524079550896 0.927857854232259 -2.33359106207119 0.0196171450519842 0.0419588222549292
"AT1G01200" 8.00113817158117 -2.69027273058752 1.04047678390439 -2.58561533731897 0.00972053448395811 0.0225650216401723
"AT1G01210" 97.4981559468655 -0.169606510136729 0.183864546019641 -0.92245358775482 0.356292028816662 0.473701368503427
"AT1G01220" 64.3617727848348 -0.828010433560323 0.2225265024526 -3.7209519964333 0.00019847316660134 0.000675158399526792
"AT1G01225" 12.5985670393673 -1.15220817377419 0.618860465591151 -1.86182223269597 0.0626281516009398 0.114225715607931
"AT1G01230" 84.5055341567794 -0.439265025146258 0.192847122394317 -2.27778885000984 0.0227391609657842 0.0477957522231129
"AT1G01240" 315.009774286245 1.39901246660579 0.110627789567445 12.6461214860745 1.17535357182393e-36 2.86597161683544e-35
"AT1G01250" 24.31652481282 -3.19764804339163 0.539901638878155 -5.9226492626248 3.16796039147372e-09 2.16981726469789e-08
"AT1G01260" 55.0233469758114 -0.258761007453705 0.242131760931234 -1.06867850156673 0.285214561988304 0.398707612050321
"AT1G01270" 0 NA NA NA NA NA
"AT1G01280" 0 NA NA NA NA NA
"AT1G01290" 68.3810786367882 -0.986065448065893 0.221546349105352 -4.45083140411846 8.55384783824657e-06 3.7281013193814e-05
"AT1G01300" 98.8875836516522 -1.72250094946683 0.211438407458159 -8.14658495669801 3.74345781630773e-16 4.48634121178622e-15
"AT1G01305" 0 NA NA NA NA NA
"AT1G01310" 0.547449255648992 -2.18657821325478 3.96871321643728 -0.550953947541131 0.581665244397793 0.678154668884297
"AT1G01320" 804.349114296125 -0.360976834703076 0.0933149601657354 -3.86837045273287 0.000109565120642497 0.00039239258357532
"AT1G01335" 0 NA NA NA NA NA
"AT1G01340" 8.61694189116105 -1.60024366843544 1.01488857250124 -1.57676784604202 0.114848952703233 0.190684937767224
"AT1G01350" 135.552849023429 0.436045056036607 0.154468695027249 2.82287007059707 0.00475958561530429 0.0119426047949765
"AT1G01355" 0.410586941736744 -1.76943263422342 3.98923181103426 -0.44355222209177 0.657366355208176 0.734308517235481
"AT1G01360" 144.830741395445 0.719263576829941 0.177363021226322 4.0553187009153 5.00659926345522e-05 0.000190471908743939
"AT1G01370" 27.4023393791581 -0.601576234856232 0.384377146708642 -1.5650676425678 0.117567049619645 0.194415953255691
"AT1G01380" 9.70774387990749 -3.35954954609454 0.994391287660811 -3.37849857272732 0.000728828107953048 0.00219464147949393
"AT1G01390" 9.75344305125519 -6.34610283616121 1.34145044544281 -4.73077694201845 2.23662172729147e-06 1.06919359672578e-05
"AT1G01400" 0 NA NA NA NA NA
"AT1G01410" 0 NA NA NA NA NA
"AT1G01420" 25.884275950435 -7.75705807911777 1.22116898404179 -6.35215779346418 2.1231536445292e-10 1.65383584965035e-09
"AT1G01430" 174.597382265715 -0.891653615685243 0.148104471532605 -6.02043683393413 1.73946979049271e-09 1.23302558121219e-08
