"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AT1G01250" 23.7574084711332 -3.12716546111111 0.541562039734575 -5.77434390091995 7.72535102398404e-09 6.08178931451575e-08
"AT1G01300" 97.2738858655693 -1.64950648144963 0.23992279769012 -6.87515524714787 6.19223857456656e-12 6.55718540119527e-11
"AT1G01420" 25.595282870344 -5.83069650349584 1.0721486774548 -5.4383283084744 5.37828023678276e-08 3.81632459915423e-07
"AT1G01500" 22.5072715647202 -1.85381794021292 0.447679974894199 -4.1409445232636 3.45878614478559e-05 0.000162676040848591
"AT1G01580" 28.7469953650662 -3.42736744147741 0.531938206304991 -6.44316839973758 1.17004745620588e-10 1.10457628784838e-09
"AT1G01620" 3149.69884369221 1.63483301900609 0.0961039182989036 17.0110964042217 6.79540777782788e-65 3.23953491477484e-63
"AT1G01720" 1192.89503694818 2.48940168351585 0.0976370730836363 25.4964800243799 2.15665260792618e-143 2.27408051475606e-141
"AT1G01830" 415.609645536883 2.98789097456055 0.14168372897754 21.0884552243412 1.01522884758972e-98 6.97899720228455e-97
"AT1G01940" 1285.57916983641 4.91227997133222 0.122468771669434 40.1104698313736 0 0
"AT1G02000" 114.73519269576 2.00205017226119 0.197682889037649 10.1275845471881 4.16818614108766e-24 8.35820403875636e-23
"AT1G02090" 846.579480729686 2.66611916978576 0.106062421953036 25.1372646474763 1.94754935596104e-139 1.96213626409273e-137
"AT1G02260" 46.5883384131832 -1.56439508926992 0.313962349988327 -4.9827474196447 6.26877564456275e-07 3.85943794940485e-06
"AT1G02290" 108.158245709916 2.74458713764757 0.229182291302644 11.9755637403207 4.77182962118309e-33 1.26326574599086e-31
"AT1G02390" 24.4706003270202 1.7021881821429 0.424718913304816 4.00779934403642 6.12871558343741e-05 0.000273909998731753
"AT1G02640" 104.475412436706 1.78444136973241 0.23135296106923 7.7130690762952 1.22827563035264e-14 1.578803670523e-13
"AT1G02660" 33.1325227593084 1.74573115553437 0.340897286346202 5.12098871259852 3.03937841033868e-07 1.95086230955064e-06
"AT1G02700" 281.696492375769 5.69416038622655 0.253536601937751 22.4589283863029 1.04682397501546e-111 8.2699094026221e-110
"AT1G02730" 52.5818403926092 -3.09047663581132 0.369163739622542 -8.37156064940516 5.68600940682142e-17 8.4475429306717e-16
"AT1G02810" 24.1005396114365 -2.32419411899903 0.480325143891668 -4.83879336436158 1.30629771660838e-06 7.6921956170846e-06
"AT1G02820" 270.690267558842 -3.27032549508262 0.199031474547483 -16.4311976410667 1.14377501839976e-60 5.14698758279894e-59
"AT1G02980" 53.4136312657873 5.16155320314525 0.490812391342666 10.516346559681 7.26356990009088e-26 1.55822359451519e-24
"AT1G03055" 70.2858151062092 -1.64668382678454 0.261469800339634 -6.2977973924545 3.01904761158556e-10 2.76006612102523e-09
"AT1G03070" 4992.83825095888 8.45402658493988 0.662200715793989 12.7665621363809 2.52042901004385e-37 7.38761789339707e-36
"AT1G03140" 577.609445986909 1.73755919576037 0.107368664907337 16.1831126172608 6.63534925530287e-59 2.89685379330196e-57
"AT1G03180" 67.5244588692161 2.56608509404406 0.266525567725166 9.62791343414427 6.09546040346538e-22 1.12276485670049e-20
"AT1G03410" 101.30152906086 -1.81874533976132 0.22125402859664 -8.22016824415438 2.03217889894218e-16 2.92147729059366e-15
"AT1G03420" 77.355957665186 -2.04950629925786 0.254907155759303 -8.04020700459706 8.96868320317604e-16 1.23717118354233e-14
"AT1G03780" 31.2611274069595 -1.77029455351668 0.384297750799293 -4.60657016554138 4.09364970916638e-06 2.24329040003801e-05
"AT1G03820" 146.100450414069 -1.57516337798912 0.190440573488056 -8.27115435087636 1.32668160445813e-16 1.93519763932829e-15
"AT1G03860" 851.9697760479 2.854037026783 0.110648548605897 25.7937140861051 1.04306217402409e-146 1.14346265200835e-144
"AT1G03970" 310.517355011172 2.16922795582644 0.142153168843155 15.259793175767 1.41696729756111e-52 5.50956737497004e-51
"AT1G04020" 27.2711626303622 -2.63752023138365 0.467032680991568 -5.64739971897442 1.62892793878017e-08 1.23359317579259e-07
"AT1G04107" 15.072000808395 -2.53012871569218 0.621288647653916 -4.07238845461985 4.65334869831449e-05 0.000212982494680074
"AT1G04110" 8.1889954514832 -5.06903203490847 1.29737420741433 -3.90714722548021 9.33922523908339e-05 0.000402296382334413
"AT1G04130" 418.002144989577 3.88649380449625 0.14554562013501 26.7029251783125 4.35267692645303e-157 5.10926251484828e-155
"AT1G04183" 93.0586406940225 -1.87484660355513 0.230314269451123 -8.14038404143696 3.94026053310587e-16 5.57121496399657e-15
"AT1G04233" 87.8464436291236 2.24447319860385 0.227005107086486 9.88732468361929 4.72485816579812e-23 9.08640614033124e-22
