"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AT1G01110" 10.4866008206001 -3.07813026796333 0.777972132013682 -3.95660736586538 7.60217285701815e-05 0.000285933035151205
"AT1G01250" 23.7425199194504 -3.12426448619598 0.52805024552369 -5.91660455170799 3.28655589958037e-09 2.32815311074066e-08
"AT1G01300" 97.235909080663 -1.64776588664814 0.23282015932369 -7.07741928978432 1.46863673730136e-12 1.42625977417659e-11
"AT1G01420" 25.5759196574577 -5.82837680579626 1.0649594353239 -5.47286273305198 4.42823116981072e-08 2.73216781803743e-07
"AT1G01500" 22.4973067803108 -1.8516795270235 0.431205186231943 -4.2941958634688 1.75327643468565e-05 7.4314514521525e-05
"AT1G01580" 28.7289747470768 -3.42582625332236 0.518860923520335 -6.60259059417894 4.04034212297516e-11 3.47519867736978e-10
"AT1G01620" 3150.86579495958 1.6370069115236 0.100177714371359 16.3410287587039 5.03953721277665e-60 1.976807791026e-58
"AT1G01720" 1193.50108596228 2.49146716853309 0.10063883271285 24.7565189437553 2.63759422952832e-135 2.39282982674699e-133
"AT1G01830" 415.853029759814 2.99015758936978 0.142023370138686 21.0539827807908 2.10248329915477e-98 1.28747900916297e-96
"AT1G01940" 1286.4504273693 4.91399485038067 0.125330559283233 39.2082735326793 0 0
"AT1G02000" 114.783903759452 2.00454618707347 0.192230415956064 10.4278304611879 1.850655336105e-25 3.43414956939686e-24
"AT1G02090" 847.027167400282 2.66848432398942 0.10837349034551 24.6230357210229 7.15879745857115e-134 6.33797951703619e-132
"AT1G02260" 46.5699969381429 -1.56147272026737 0.302996203118012 -5.15343989198176 2.55751075799223e-07 1.42734999139085e-06
"AT1G02290" 108.215177410794 2.74608459283247 0.22321468341735 12.3024370565177 8.7881945751383e-35 2.14546787828266e-33
"AT1G02340" 64.0024540122769 1.50030993275092 0.256863207364352 5.84089075327468 5.19224465027221e-09 3.60059872020292e-08
"AT1G02390" 24.4793722147347 1.70344647001052 0.403910036188462 4.21739079841954 2.47145440138249e-05 0.000101933044487328
"AT1G02640" 104.519727312581 1.78609270888022 0.224590179295029 7.95267502117245 1.82526697221389e-15 2.15176526216338e-14
"AT1G02660" 33.1457591268505 1.74891874859629 0.326636920433448 5.35432046773975 8.58785394649574e-08 5.11950352218763e-07
"AT1G02700" 281.891478319579 5.6963463060672 0.252775496867668 22.5351997193357 1.87589861712679e-112 1.35144395472418e-110
"AT1G02730" 52.5484548763098 -3.08771407967306 0.360038364257872 -8.57606962535117 9.81701344588824e-18 1.32122137615755e-16
"AT1G02810" 24.0883920567906 -2.32120876733003 0.46377240272958 -5.00506014085425 5.58445928783744e-07 2.96935371443262e-06
"AT1G02820" 270.51460119335 -3.26967883071834 0.329413346513974 -9.92576307341463 3.21633066288995e-23 5.4499622954196e-22
"AT1G02980" 53.4472229858523 5.16356991806374 0.48304516831982 10.6896212957149 1.1383483163876e-26 2.18596590895162e-25
"AT1G03055" 70.2563551029087 -1.64484663100405 0.253240256553916 -6.49520204009845 8.29220505499851e-11 6.92692915640175e-10
"AT1G03070" 4996.49789603943 8.45625102685535 0.662150532289928 12.7708891173295 2.38415379427093e-37 6.13286702388597e-36
"AT1G03140" 577.836081601183 1.73974579598488 0.108743646706555 15.9985971472852 1.30686753223713e-57 4.98441085608436e-56
"AT1G03180" 67.5602617994027 2.56752587126689 0.257933950968938 9.95419897854423 2.41761912353922e-23 4.11873366139275e-22
"AT1G03410" 101.257017559045 -1.81662472799509 0.215488327708741 -8.43026973809214 3.44869349670483e-17 4.52269173913492e-16
"AT1G03420" 77.3184738497939 -2.04735396763952 0.247849722544337 -8.26046503753207 1.45106020852136e-16 1.82063871922899e-15
"AT1G03780" 31.2480288905387 -1.76870613929509 0.369713430315931 -4.78399212542449 1.71847419093429e-06 8.54778058193738e-06
"AT1G03820" 146.042806010255 -1.57312172172491 0.186220237462271 -8.44764104676661 2.97247642870837e-17 3.91213390273886e-16
"AT1G03850" 132.358783012258 1.50077511327049 0.186156322794982 8.06190781348494 7.51128381552553e-16 9.05832886834028e-15
"AT1G03860" 852.446500122706 2.85637640226894 0.113068275026125 25.2624036371737 8.27558724534415e-141 7.93197047059182e-139
"AT1G03970" 310.659390285964 2.17151288644309 0.141339265254183 15.3638331325543 2.86144168755082e-53 1.01090516028939e-51
"AT1G04020" 27.255827287408 -2.63529319286379 0.453006067472497 -5.81734634939253 5.97891767497387e-09 4.12148968557845e-08
"AT1G04107" 15.0641634579342 -2.52875246488384 0.597859625576836 -4.22967592508695 2.34028202814931e-05 9.69583110515908e-05
"AT1G04110" 8.18301381760329 -5.06778854804228 1.27919118069999 -3.96171317040281 7.44139026774857e-05 0.000280419570004303
"AT1G04130" 418.273776600382 3.88873519403294 0.145845659170674 26.6633591712331 1.25286134769038e-156 1.30279850989785e-154
"AT1G04183" 93.0165233529917 -1.87266938540524 0.22412062118305 -8.35563178220776 6.50834307190942e-17 8.37573981437496e-16
"AT1G04233" 87.8888703537869 2.24727477509702 0.220063985366088 10.211915281633 1.75368491818005e-24 3.14308813181132e-23
"AT1G04280" 124.718722468999 -1.54510937369255 0.192959981541791 -8.00740838254021 1.17150958956401e-15 1.39448860161655e-14
"AT1G04330" 19.677428253632 -2.54318236551331 0.522363354931304 -4.86860791727582 1.12387142427484e-06 5.74576659279655e-06
"AT1G04425" 38.7282169217483 -1.5703863521601 0.325578977362987 -4.82336533175261 1.41156083102621e-06 7.12079142333472e-06
"AT1G04433" 32.7574746778661 -2.59310640574752 0.414511571585305 -6.25581186028209 3.95453250183864e-10 3.0881214666324e-09
"AT1G04503" 221.276105957963 -1.50261709406861 0.192417165644791 -7.8091634342151 5.75688102548767e-15 6.5996069790367e-14
"AT1G04570" 30.1318623874373 4.07259307795654 0.490564107853768 8.30185701064484 1.02496522748915e-16 1.2993305600919e-15
"AT1G04737" 37.8705645316592 1.78377582937657 0.329211980722393 5.41831990883933 6.01616971265144e-08 3.65462830849824e-07
"AT1G04810" 232.37580654 1.66157400557606 0.145167633897494 11.4458985172227 2.46536757530627e-30 5.33880434161364e-29
"AT1G04960" 249.849022181353 1.6100391659139 0.138346363986349 11.6377410979357 2.6493976310335e-31 5.88769866694895e-30
"AT1G04980" 463.537764059313 3.3735038950155 0.140173574906284 24.0666181002441 5.59292438528881e-128 4.67030371491256e-126
"AT1G05017" 118.641951389873 4.04523752996832 0.266071551015309 15.2035702972828 3.34861859780174e-52 1.16435799666466e-50
"AT1G05100" 25.6575696862972 1.83605440565312 0.387441733840991 4.73891748173584 2.14862973903145e-06 1.05446443893473e-05
"AT1G05170" 432.911816902424 2.10643536390908 0.124060838669232 16.9790514597858 1.1736761972735e-64 4.94716859825897e-63
"AT1G05210" 63.5293531181528 1.50148457700815 0.238470041268405 6.29632371857639 3.04787528403359e-10 2.40481068849394e-09
"AT1G05240" 26.6511729015083 -1.79091970388697 0.401342795998796 -4.46231929846909 8.10772925385035e-06 3.63356152472314e-05
"AT1G05340" 107.879156048831 2.45113825283382 0.217878721082431 11.2500121198457 2.31560243004111e-29 4.84321210343988e-28
"AT1G05347" 1501.36579785715 3.65474520368277 0.151078217122082 24.1910797817363 2.76165358483683e-129 2.34156358760492e-127
"AT1G05353" 270.711416432938 7.65460995492756 0.454092243439586 16.8569493655004 9.32810512295189e-64 3.90205080522722e-62
"AT1G05700" 29.1731741969896 2.19030279273162 0.372412871008221 5.88138317239649 4.06852071163043e-09 2.86094223565846e-08
"AT1G05733" 9.46257912231704 -3.74234157990886 0.958438276188964 -3.90462450517891 9.43717977972488e-05 0.000348713758370826
"AT1G05820" 50.385643578457 2.31854302004098 0.291577740891635 7.95171473978417 1.83947428476368e-15 2.1661971478427e-14
"AT1G05835" 36.3591654107221 -2.47599565276413 0.382864500113577 -6.46702854934218 9.99487720825784e-11 8.27401682523635e-10
"AT1G06000" 130.976387748521 -2.19599601354625 0.209122271186354 -10.501014555209 8.5456659786532e-26 1.59922925721061e-24
