"genes" "logFC" "logCPM" "PValue" "FDR"
"AT5G23010" -6.41270556006353 5.09789435754356 1.8391785999034e-93 3.73648551911833e-89
"AT5G19600" -6.44788715205919 5.07164198499914 1.95699236323172e-93 3.73648551911833e-89
"AT1G47395" 7.67376441465816 3.86824807707132 1.06699091416528e-76 1.35813716827718e-72
"AT3G19710" -7.82301268332287 3.55422183825863 8.73068480042295e-73 8.33474824472377e-69
"AT1G62360" -4.58752673001568 5.50460140937385 6.50109887635605e-70 4.96501923385064e-66
"AT1G47400" 12.1190518454249 3.23583022546182 1.12712667132127e-68 7.17340984517903e-65
"AT1G13609" 7.19790771788793 3.39803412682507 6.00686785368238e-65 3.27683222658165e-61
"AT5G23020" -5.89020877650133 3.3353737639319 5.57973837256844e-59 2.66334861868623e-55
"AT5G63160" -3.57911811391566 8.0694838925514 9.54262729500281e-56 4.04883073207753e-52
"AT5G05250" 4.01848763682409 5.00118836161585 2.21921151873585e-55 8.47428110544472e-52
"AT3G16150" -3.73065383707515 5.2696702722921 1.29002453737973e-51 4.47826154403476e-48
"AT2G30766" 11.3093989506292 2.43502175912858 1.07596182577938e-50 3.42388985660094e-47
"AT3G28740" -3.62041753318596 5.4676455536046 2.52650837365215e-50 7.42132682740624e-47
"AT3G09922" -3.80336890700869 4.76256749436702 3.67252987930498e-50 1.00170875693671e-46
"AT1G13300" -3.84461319608211 4.19185781103164 9.09916787262293e-47 2.31640549589319e-43
"AT5G50760" -3.76229661387197 4.05416932558186 1.96554756512635e-44 4.69102495761968e-41
"AT3G25790" -10.8526606333375 1.97682916952954 1.35519003234874e-41 3.04407568089817e-38
"AT3G22240" -3.32640855226338 4.37525868153825 1.73299718307171e-39 3.67645724626535e-36
"AT3G56980" 10.7045547815824 1.84065063536436 4.1646776647518e-39 8.37012533190591e-36
"AT3G21260" -3.84439212436543 3.3127215322034 5.95071694312624e-39 1.13081588160082e-35
"AT2G41380" -2.99173317167696 6.05156354404298 6.21880624145425e-39 1.13081588160082e-35
"AT4G15990" -4.45691238020268 2.61834134731721 9.74298778402589e-38 1.69111696145824e-34
"AT4G16370" 2.83589960413361 7.12523285263364 1.65386308066893e-37 2.6737848391453e-34
"AT3G56970" 6.67265589998314 1.93725005869703 1.68048070338572e-37 2.6737848391453e-34
"AT5G09220" 4.79338700404022 2.47584122502271 2.37301668924301e-37 3.62464061181734e-34
"AT5G58390" -7.50492581125028 1.78152126664599 2.74651998863225e-36 4.03379278022735e-33
"AT1G31710" -3.6628765143484 3.03034074939186 3.01986069226314e-34 4.27097779239853e-31
"AT3G25760" -4.10946706351119 2.53484055418596 7.99409163891368e-34 1.09022279758414e-30
"AT2G41240" 10.3879100024882 1.53136228013808 8.57736540610683e-34 1.12943198412964e-30
"AT5G14200" -3.66724148059871 2.9527396321412 1.42339334627698e-33 1.81178994403109e-30
"AT1G20160" -3.63596412671357 2.96535507055702 2.490998864887e-33 3.06842847272823e-30
"AT5G61420" -3.87156436503156 2.58459974572655 3.4830803289163e-32 4.15640329499993e-29
"AT1G64110" 2.77738490043805 4.62327559892681 6.67631650669005e-31 7.72550976134746e-28
"AT4G13770" -5.52614057401652 1.69923080840846 1.16209548790811e-30 1.30516995003703e-27
"AT2G45135" -4.02581648915673 2.29895473289368 1.22639047768762e-30 1.33802705088513e-27
"AT1G07610" -2.50993271768342 6.92234727461397 2.00927498672516e-30 2.13128262897464e-27
"AT3G14660" -2.5328971982488 6.66718531209444 2.38224411379303e-30 2.4586046953865e-27
"AT5G23660" -3.62800415527087 2.58809077501307 6.864907814081e-30 6.89850973127624e-27
"AT1G67870" -2.74866879681648 4.32203845801807 1.67623217099652e-29 1.64124619696598e-26
"AT1G68230" -2.95070588981504 3.43813048290292 2.29655243640521e-28 2.19240378341423e-25
"AT3G13630" -3.67240706448227 2.33773767463137 4.84195153290337e-28 4.50962832281581e-25
"AT5G47560" -2.33652380991736 5.66420574399242 1.67698751999379e-25 1.52470108186864e-22
"AT1G05562" -2.33760131733627 5.66227074453655 1.81014411092913e-25 1.60749216325442e-22
"AT1G05560" -2.32322998394968 5.65878041480826 2.9642918089953e-25 2.5726010685976e-22
"AT3G59140" -3.64495957475278 2.02837204891478 4.87950076099487e-25 4.14063591243001e-22
"AT2G30760" 5.87544634795724 1.16975482267889 5.59536770712927e-25 4.64488502748779e-22
"AT5G42530" 9.76505524640071 0.928122005312683 9.00946426773567e-25 7.29320078047229e-22
"AT4G00780" -4.39849810137334 1.58719856214042 9.16759119736736e-25 7.29320078047229e-22
"AT5G07860" -2.31815276442408 5.24296451143407 1.55726637770081e-24 1.21358722242619e-21
"AT5G15800" -2.42781929321355 4.35203715119462 2.15869824825127e-24 1.64864102615446e-21
"AT5G17860" -2.79374665628019 3.0512156294744 3.50238753497958e-24 2.62239549824961e-21
"AT2G11810" -2.50152912878195 3.82788494445054 9.71365420597826e-24 7.13318460595165e-21
"AT5G63450" -2.3646257910384 4.31383346795081 2.7048835127943e-23 1.93769604237746e-20
"AT2G43535" -2.15277614059938 6.69367017383758 2.74015571906936e-23 1.93769604237746e-20
"AT4G36850" -3.37053061129498 2.06346095896446 3.99832812146126e-23 2.77600286629308e-20
"AT5G38200" -2.1174755019517 7.67318323404666 5.70853383624357e-23 3.8926084476928e-20
"AT1G13600" -5.32597103333142 1.11575787910721 6.43523989567586e-23 4.31115913432067e-20
"AT4G33420" -2.33182284807957 4.33695295325583 8.14306040452525e-23 5.36122249322761e-20
"AT2G36970" -2.70587822540938 2.85707053946266 4.94344297854575e-22 3.19949684031776e-19
"AT3G48360" -2.06852587807986 7.38787164258009 5.44118685694293e-22 3.46295268865371e-19
"AT3G56620" -9.5255132335461 0.68073519699268 8.90188190331196e-22 5.57257807147328e-19
"AT1G77885" -2.323345571987 3.99673163610683 1.06513813739977e-21 6.56022014753994e-19
"AT1G21529" -3.10916747078434 2.1204515084164 2.64620234062547e-21 1.60393464411309e-18
"AT2G21450" -3.52835885369907 1.66538692742383 4.1330085143482e-21 2.46598536138907e-18
"AT2G26700" -2.13683652876926 4.87562122610418 7.11847641797374e-21 4.18194062302685e-18
"AT1G27020" -2.196987577381 4.38636429154105 8.90737850266543e-21 5.15359326519367e-18
"AT4G39780" -2.45644634806209 3.2413088104808 9.58036784630294e-21 5.46023771013319e-18
"AT1G12030" 2.15815369140821 4.41203955424251 2.92761438785081e-20 1.64402769138928e-17
"AT2G18196" -2.19386691083729 4.11279668112024 3.79028137615405e-20 2.09761861782346e-17
"AT1G23110" -2.9607641820892 2.09127548373843 8.24904146975463e-20 4.49996996520072e-17
"AT4G19720" -2.28140833917603 3.5754960101797 9.66802576257748e-20 5.19976382774343e-17
"AT3G26520" -1.95977763564243 6.26558858604493 1.28919368514843e-19 6.83738195292749e-17
"AT1G64370" -2.18581430940361 3.96160264378841 1.37812652999457e-19 7.20892324306475e-17
"AT1G05240" -9.33771342768503 0.500257766977984 1.5745261915892e-19 8.12498069621962e-17
"AT5G56870" -1.93499573691989 7.05619610765118 1.63887289271863e-19 8.34426670418046e-17
"AT3G27970" -3.11160176348939 1.83278751435834 2.09477505247161e-19 1.05251421254844e-16
"AT3G20340" -2.0478375900596 4.78612741994892 2.53739580246503e-19 1.25835059886922e-16
"AT1G73340" -2.37943903819261 3.11025159085787 3.03304724477379e-19 1.4848710524222e-16
"AT1G66795" -2.24910487979421 3.47716078847279 5.42677911341587e-19 2.62312642056833e-16
"AT4G27460" -2.22398130136388 3.58543001296937 5.54699919818977e-19 2.64772139227593e-16
"AT5G44130" -5.45112909005837 0.695154977105025 7.18585662231808e-19 3.38764346888689e-16
"AT2G24580" -2.66075923924451 2.39161060226479 9.01135398471177e-19 4.19643369829517e-16
"AT5G02455" -2.37125959071752 2.96024563617004 1.50634107465021e-18 6.93025786464974e-16
"AT3G58990" -4.95866556773 0.769110969804128 1.63272123223542e-18 7.4222729731121e-16
"AT5G03545" -1.85341894171595 8.76785062939672 2.0736812881515e-18 9.31595219639448e-16
"AT5G25460" -1.85552298454656 7.29928935141763 3.22412070620153e-18 1.43158457310479e-15
"AT4G15100" -4.37855822458033 0.9196655498705 3.44727667493203e-18 1.51307709320637e-15
"AT1G80050" -2.20536284577476 3.37869655097985 4.2178355525861e-18 1.8302530501256e-15
"AT2G03550" -9.18393100878683 0.353249347980549 5.8087372592692e-18 2.49227461778038e-15
"AT3G51895" -4.58908837258635 0.81155569317802 6.58039096699074e-18 2.79198677183898e-15
"AT5G07870" -1.84863636510227 6.23414003499278 9.95770615309809e-18 4.17851612266158e-15
"AT4G12030" -6.13956308891463 0.464365331197965 1.72739707922172e-17 7.16982444208268e-15
"AT5G06870" -1.93163585962491 4.71975741220831 1.98701092176897e-17 8.15870957620108e-15
"AT2G45130" -2.82554561379944 1.87266303136381 2.28472859768305e-17 9.28134534373668e-15
"AT2G44300" -4.52710892471864 0.754081755013639 3.10335605070489e-17 1.24741846476018e-14
"AT2G32870" -3.94520560652809 0.982792943655871 4.15025017165867e-17 1.65084846932248e-14
"AT3G05640" -2.78113511737885 1.88587312407008 4.44891645657384e-17 1.7514054001106e-14
"AT1G26720" -4.2761157756616 0.825141597854917 4.73141827724344e-17 1.84361161566141e-14
"AT3G11000" -9.07876591159713 0.253162543468414 5.93547710465651e-17 2.26652128718414e-14
"AT5G57625" -9.07876591159713 0.253162543468414 5.93547710465651e-17 2.26652128718414e-14
"AT1G67148" -1.99397635257035 3.9666548472135 6.09429389182767e-17 2.30412580745873e-14
"AT1G17710" -6.08155537311955 0.409611675197851 6.51922490519775e-17 2.44061884539099e-14
"AT2G37210" -2.16177350020804 3.13719883661377 7.80082686248066e-17 2.89206188903579e-14
"AT3G54590" -2.39253656796751 2.48999349073914 9.09029893277567e-17 3.33771302929781e-14
"AT5G22890" -2.12669754891112 3.26263411884392 9.64109215203795e-17 3.50623566588306e-14
"AT1G08847" -2.12405856234754 3.2471734989917 1.14205717283881e-16 4.11420709453045e-14
"AT4G15550" -1.75827500528357 6.80537700556872 1.76691599620723e-16 6.30574338609057e-14
"AT1G78020" -1.90755969885687 4.26949521454443 2.44528455972865e-16 8.64589224053688e-14
"AT2G45760" -3.54422318492585 1.11314846592801 2.62368665332258e-16 9.19156867374092e-14
"AT5G08370" -1.87097307399311 4.57336360718905 2.79818293688937e-16 9.71376487527797e-14
"AT4G28040" -2.65811999136161 1.9247904471492 2.89959890454219e-16 9.97514268187821e-14
"AT1G67645" -4.19821629544875 0.75363310133158 3.1927640665755e-16 1.08856150577011e-13
"AT5G67180" -2.23735992833236 2.75254591714447 3.2393478078804e-16 1.09467022470549e-13
"AT2G01950" -1.89174995213346 4.32555106703115 3.36091960341536e-16 1.12579014014052e-13
"AT3G01420" -1.99285408903498 3.6263381189729 4.07545267103813e-16 1.35326291909793e-13
"AT4G15765" -2.13597526146531 3.07132157803453 4.11612236566617e-16 1.35498490220111e-13
