"genes" "logFC" "logCPM" "PValue" "FDR"
"AT5G23010" -6.14983039533489 5.10156814618567 2.07683737689907e-90 4.86122006979181e-86
"AT5G19600" -6.17440939616789 5.07544551013837 2.54607451411083e-90 4.86122006979181e-86
"AT1G47395" 6.53085410885295 3.87647608384398 1.39050881993272e-71 1.76993232659836e-67
"AT1G62360" -4.53148562779089 5.50641360677875 8.5643083149493e-69 8.17591693286635e-65
"AT3G19710" -6.46100737644586 3.5712681334646 6.30857227025206e-67 4.81798281423691e-63
"AT1G47400" 7.4523178555886 3.24791779287665 8.84307447033767e-63 5.62802736207191e-59
"AT1G13609" 6.05818206121721 3.41262465839001 4.47468224207256e-60 2.44100308708261e-56
"AT5G63160" -3.57908586560252 8.06671134303182 9.499870266896e-56 4.53452557514613e-52
"AT5G23020" -5.32896666031063 3.3556707094133 4.51779434560617e-55 1.91684994312575e-51
"AT5G05250" 3.95203073765016 5.00065703055642 3.01812993538011e-54 1.15250309712425e-50
"AT3G16150" -3.69598806780915 5.27226348582517 4.4940021061978e-51 1.56007240388426e-47
"AT3G28740" -3.5933667306623 5.4694157815222 9.60846833397762e-50 3.05757476501058e-46
"AT3G09922" -3.74937684940807 4.76779188269807 3.43775714040723e-49 1.00980149356608e-45
"AT2G30766" 6.65210913137334 2.46212363358263 1.94121902480967e-46 5.29481354867014e-43
"AT1G13300" -3.76034233622043 4.20136409942 1.75016387965183e-45 4.45545052722565e-42
"AT5G50760" -3.67472936125849 4.06496568071439 3.79386867453068e-43 9.05454182535178e-40
"AT3G25790" -10.8868594094654 2.00427609997582 2.79781740801363e-42 6.28455620837696e-39
"AT2G41380" -2.98307480692951 6.05134276395432 8.94366795062895e-39 1.89734946868176e-35
"AT3G22240" -3.27628838387576 4.38307752258049 1.22287906525244e-38 2.45772947293314e-35
"AT3G21260" -3.68940984419504 3.3331564309734 1.2907698146328e-37 2.46446680707841e-34
"AT4G16370" 2.82448297339896 7.11917276023022 2.97487095091172e-37 5.40944867292929e-34
"AT3G56980" 6.0586352064697 1.88549183569125 2.61176653360815e-35 4.53331440238004e-32
"AT4G15990" -4.09359401828742 2.65357039773967 5.53322671447201e-35 9.18659979647080e-32
"AT5G09220" 4.27484934937777 2.51078517622835 2.84119881267855e-34 4.52058407753929e-31
"AT1G31710" -3.49741111740295 3.05589067824783 1.47958143984388e-32 2.25997187447513e-29
"AT5G14200" -3.49243516177897 2.97988949913817 7.56201785024172e-32 1.11062774472819e-28
"AT3G56970" 4.95235574032616 1.9911619478113 9.8674569353406e-32 1.39555077975154e-28
"AT1G20160" -3.46629258677036 2.99223218363729 1.22153338702659e-31 1.66590978274991e-28
"AT3G25760" -3.80224278666322 2.57229697356031 1.73028596228152e-31 2.27836895709249e-28
"AT5G58390" -5.10442285034179 1.84673930639609 4.05861226744565e-31 5.16607226815599e-28
"AT1G07610" -2.5097737445839 6.92029128393385 2.01035328467093e-30 2.47636614607884e-27
