"genes" "logFC" "logCPM" "PValue" "FDR" "EnsID"
"14608" -9.10983900044782 -0.321170141663797 3.93677326663033e-16 1.06997560613746e-11 "ENSMUSG00000031932"
"100039801" -2.52452779595364 1.32328861748719 9.44479916518825e-15 1.28350098255326e-10 "ENSMUSG00000061974"
"73010" -8.9095313285697 -0.506033728362513 2.53515858581075e-14 1.72257688009376e-10 "ENSMUSG00000044067"
"57394" -8.9095313285697 -0.506033728362513 2.53515858581075e-14 1.72257688009376e-10 "ENSMUSG00000015401"
"17085" -8.86590225951564 -0.546099892898868 6.54766857465731e-14 3.55918168381222e-10 "ENSMUSG00000004707"
"64176" -3.28265113155958 0.308179962619331 1.09480567899007e-13 4.95928725821185e-10 "ENSMUSG00000053025"
"67412" 8.76770487460489 -0.765293209054119 1.49345451713768e-13 5.798657188755e-10 "ENSMUSG00000038916"
"64293" -8.75068270505561 -0.651549856548212 4.48436893269364e-13 1.51325079634942e-09 "ENSMUSG00000029123"
"170743" -5.55739762357745 -0.502919973241638 5.01094858793361e-13 1.51325079634942e-09 "ENSMUSG00000044583"
"15891" -2.09587634510812 1.63370547754739 1.4453603475403e-12 3.92834488857977e-09 "ENSMUSG00000029306"
"12395" -3.96407263809035 -0.178118148236261 3.11168958843376e-12 7.21116541564393e-09 "ENSMUSG00000006586"
"15233" -8.65138624876942 -0.741991280339225 3.18385462996163e-12 7.21116541564393e-09 "ENSMUSG00000022821"
"224129" -4.63094929204093 -0.480245680367976 4.20535545722052e-12 8.7921043055228e-09 "ENSMUSG00000022840"
"504186" 3.43648825671244 -0.301155209482117 7.35336406333579e-12 1.4275505848386e-08 "ENSMUSG00000066279"
"272714" -8.59905171021837 -0.789489932154701 8.60156298517004e-12 1.55854586915958e-08 NA
"140476" 8.43154068589718 -1.08416428098083 2.79657369550512e-11 4.75050477938335e-08 "ENSMUSG00000033498"
"14275" -3.11923544466099 0.0086845705767696 3.48854217233814e-11 5.57735810011637e-08 "ENSMUSG00000001827"
"22139" -1.64746788762836 2.52509281017454 6.95378852823008e-11 1.02128985583567e-07 "ENSMUSG00000061808"
"74075" -2.71840368125183 0.32776879520055 7.13952215345588e-11 1.02128985583567e-07 "ENSMUSG00000025480"
"72432" -1.52802666867046 3.28314742728644 8.07288550857093e-11 1.06685833365801e-07 "ENSMUSG00000055561"
"270162" 8.35377029810612 -1.15704506102881 8.24313808705923e-11 1.06685833365801e-07 "ENSMUSG00000041986"
"214593" -8.23754424119652 -1.11414901620478 1.42164265559427e-10 1.7563102607453e-07 "ENSMUSG00000068452"
"329152" -3.05299928367785 -0.0475821076250365 1.4919349917403e-10 1.76301309306563e-07 "ENSMUSG00000042807"
"15013" -8.39930707129951 -0.969647688456495 1.79488976079137e-10 2.03263786702286e-07 "ENSMUSG00000091705"
"271970" -2.06184306981101 1.12228173010143 1.98477022155927e-10 2.15776279407037e-07 "ENSMUSG00000046561"
"23972" -2.06922863973912 0.999095975726642 4.02918533995199e-10 3.62472292475336e-07 "ENSMUSG00000024899"
"12919" -1.30431271387097 7.93751315994471 4.058096862972e-10 3.62472292475336e-07 "ENSMUSG00000021680"
"77577" -8.16739389281471 -1.17639730515839 4.2676748074656e-10 3.62472292475336e-07 "ENSMUSG00000020798"
"70821" -8.16739389281471 -1.17639730515839 4.2676748074656e-10 3.62472292475336e-07 "ENSMUSG00000029828"
"319998" -8.13099668166911 -1.20859098593608 4.2676748074656e-10 3.62472292475336e-07 "ENSMUSG00000051703"
"67516" -8.13099668166911 -1.20859098593608 4.2676748074656e-10 3.62472292475336e-07 "ENSMUSG00000046523"
"74016" -8.13099668166911 -1.20859098593608 4.2676748074656e-10 3.62472292475336e-07 "ENSMUSG00000026873"
"791357" -8.33676121380988 -1.02567396326413 5.03731386397828e-10 4.14876222754744e-07 NA
"20698" -1.90976928744482 1.29925435055519 6.20601688241296e-10 4.96098037785594e-07 "ENSMUSG00000061878"
"71145" -8.09365740057027 -1.24154267697418 7.42891540558818e-10 5.45704031914814e-07 "ENSMUSG00000022032"
"212517" -8.09365740057027 -1.24154267697418 7.42891540558818e-10 5.45704031914814e-07 "ENSMUSG00000071550"
"245537" -8.09365740057027 -1.24154267697418 7.42891540558818e-10 5.45704031914814e-07 "ENSMUSG00000031302"
