"genes" "logFC" "logCPM" "PValue" "FDR" "EnsID"
"270162" 3.9794836050948 -0.575996876453158 1.63768319414416e-11 2.12510595882055e-07 "ENSMUSG00000041986"
"100039801" -2.01274701195398 1.49319055888365 1.79922724855405e-11 2.12510595882055e-07 "ENSMUSG00000061974"
"665180" -8.5228692009238 -0.867565457333004 2.34567786764106e-11 2.12510595882055e-07 "ENSMUSG00000079598"
"140476" 3.24738246167736 -0.465425894527666 2.18351865572506e-10 1.32595961775061e-06 "ENSMUSG00000033498"
"15891" -1.77100297153161 1.77166704839149 2.61332137334151e-10 1.32595961775061e-06 "ENSMUSG00000029306"
"12919" -1.31523035002739 7.93497357792225 2.92717086960657e-10 1.32595961775061e-06 "ENSMUSG00000021680"
"72432" -1.4612529422517 3.32594463344873 4.01293492983686e-10 1.55810797797194e-06 "ENSMUSG00000055561"
"22139" -1.51703740416046 2.59942586000946 1.29015599330488e-09 4.38314371775416e-06 "ENSMUSG00000061808"
"791357" -3.52129872418862 -0.578353286647313 1.89441591942793e-09 5.30444493702198e-06 NA
"67412" 2.72617955218219 -0.167385689158093 1.95167038412818e-09 5.30444493702198e-06 "ENSMUSG00000038916"
"76294" 8.08399514639798 -1.40985235507986 2.27269288375873e-09 5.61541089887986e-06 "ENSMUSG00000031519"
"73010" -2.67921321557617 -0.0753468446674359 3.91820773620831e-09 8.35112390089831e-06 "ENSMUSG00000044067"
"246177" -7.98151879112708 -1.34953836036492 3.99442991690931e-09 8.35112390089831e-06 "ENSMUSG00000020437"
"108760" -7.93986649343237 -1.38595893099541 7.04361305958816e-09 1.36741685247533e-05 "ENSMUSG00000021130"
"100504518" 7.98483919359225 -1.50027834585742 1.24617769515791e-08 2.11686647354355e-05 "ENSMUSG00000071540"
"269019" 7.98483919359225 -1.50027834585742 1.24617769515791e-08 2.11686647354355e-05 "ENSMUSG00000039954"
"64176" -2.00336351189134 0.63371083051333 1.72727118614542e-08 2.76150020989684e-05 "ENSMUSG00000053025"
"69303" 7.93258268649024 -1.5476291011215 2.21220691621053e-08 3.16450377766769e-05 "ENSMUSG00000085984"
