"genes" "logFC" "logCPM" "PValue" "FDR" "EnsID"
"242022" -11.1048805837754 1.575431060121 1.91214397764163e-43 5.19701611683217e-39 "ENSMUSG00000037016"
"20192" -10.9870998410754 1.46073554860903 3.65208407028538e-41 4.96299964731431e-37 "ENSMUSG00000057378"
"330267" -10.5688868259706 1.05531508772897 3.71459854947141e-35 3.36530246586945e-31 "ENSMUSG00000032625"
"269152" -10.5551558581104 1.04205707381764 6.68856574303004e-35 4.54471320824534e-31 "ENSMUSG00000026494"
"330222" 10.4761694404859 0.90824483062957 1.77480313280364e-34 9.64747486929401e-31 "ENSMUSG00000039683"
"23965" 10.4670158922841 0.899137089344379 3.3229885224183e-34 1.50525841751345e-30 "ENSMUSG00000031561"
"330941" 10.42035618503 0.852721481879005 1.62221406899139e-33 6.29859374015956e-30 "ENSMUSG00000078307"
"219228" 10.3916183886658 0.824143164494794 4.25210017445334e-33 1.36989950721177e-29 "ENSMUSG00000035566"
"20356" -10.4403332522413 0.931332454989188 4.53625798039145e-33 1.36989950721177e-29 "ENSMUSG00000022231"
"269109" -10.4101406135396 0.902260809259089 1.56484993194529e-32 4.2531056300341e-29 "ENSMUSG00000036815"
"23972" -10.3317731974388 0.82689020855999 2.68791156829377e-31 6.64134077405968e-28 "ENSMUSG00000024899"
"108800" -10.2658623055812 0.763599748046508 2.59917673224338e-30 5.88691870047025e-27 "ENSMUSG00000020961"
"17952" 10.1949746352093 0.628799981576619 4.76291213573901e-30 9.95778376440389e-27 "ENSMUSG00000078942"
"54216" -10.1335246752671 0.63681047941381 2.02521252274615e-28 3.66955007704785e-25 "ENSMUSG00000029108"
"66797" -10.1335246752671 0.63681047941381 2.02521252274615e-28 3.66955007704785e-25 "ENSMUSG00000039419"
"54403" 10.0795999793653 0.514383495343054 2.32161355483408e-28 3.94369592542722e-25 "ENSMUSG00000060961"
"260315" 10.0182574010625 0.453618219722913 2.06636647029786e-27 3.30363378213092e-24 "ENSMUSG00000020181"
"319767" -10.0380349810235 0.54557240186949 4.63522712424206e-27 6.9989354449875e-24 "ENSMUSG00000055415"
"93961" 9.98015953503535 0.415904626614234 6.27920836431585e-27 8.98224232282844e-24 "ENSMUSG00000074892"
"20745" 9.9672333476594 0.403113490935367 9.12047911740003e-27 1.18040715205626e-23 "ENSMUSG00000056222"
"269959" 9.9672333476594 0.403113490935367 9.12047911740003e-27 1.18040715205626e-23 "ENSMUSG00000070469"
"11517" -9.95681442592795 0.468139103106336 8.15419999432929e-26 9.99515034432672e-23 "ENSMUSG00000029778"
"16572" 9.90080591760593 0.337419105316249 8.82606454482657e-26 9.99515034432672e-23 "ENSMUSG00000074657"
"15277" 9.90080591760593 0.337419105316249 8.82606454482657e-26 9.99515034432672e-23 "ENSMUSG00000000628"
"209268" -9.91442249307144 0.42778823015673 2.44187102912928e-25 2.65470450802819e-22 "ENSMUSG00000031111"
"19281" 9.85942994564153 0.296534251829762 2.80069903033477e-25 2.92769995944111e-22 "ENSMUSG00000053141"
