"genes" "logFC" "logCPM" "PValue" "FDR" "EnsID"
"100039801" -2.01990811547855 1.50423922018514 1.50502392419719e-11 1.76178100566523e-07 "ENSMUSG00000061974"
"15891" -1.77724265162348 1.78184103132359 2.25368841832699e-10 1.10623264234788e-06 "ENSMUSG00000029306"
"12919" -1.31629629932715 7.94115604895921 2.83504008802635e-10 1.10623264234788e-06 "ENSMUSG00000021680"
"72432" -1.46410519622741 3.33344656386488 3.78623761793069e-10 1.10804243888742e-06 "ENSMUSG00000055561"
"22139" -1.52108999474642 2.6078247189577 9.48358573794375e-10 2.22029709296739e-06 "ENSMUSG00000061808"
"271970" -1.6370286339231 1.32755779893443 4.39541355790949e-08 8.57545185148142e-05 "ENSMUSG00000046561"
"20698" -1.56411166786604 1.4825926384234 6.63498976517921e-08 0.000110955985987411 "ENSMUSG00000061878"
"14089" -1.43702486204153 1.91382853801029 1.23913126156592e-07 0.000181315881848633 "ENSMUSG00000000392"
"23972" -1.61070039753466 1.22099826272095 1.56651412830209e-07 0.000203751270954492 "ENSMUSG00000024899"
"327956" -1.07580053981551 7.19230168346361 2.37873961853785e-07 0.00027845525974604 "ENSMUSG00000020830"
"208890" -1.16761173216346 3.12906968913689 6.09715282242208e-07 0.00059299610459704 "ENSMUSG00000040569"
"23985" -1.03794642658007 6.76098983740328 6.50084581237628e-07 0.00059299610459704 "ENSMUSG00000020651"
"269109" -1.48878641717011 1.3267166413303 6.5854684433295e-07 0.00059299610459704 "ENSMUSG00000036815"
"319776" -1.2487424767119 2.39013413473677 7.19584397407371e-07 0.00060167535400362 "ENSMUSG00000048108"
"20377" -1.03906930437769 5.49663631503781 9.08623786049482e-07 0.000709090002633016 "ENSMUSG00000031548"
"229933" -1.40380064464161 1.413825332687 1.36013829600869e-06 0.000995111180817358 "ENSMUSG00000036960"
"12805" -1.01905105079228 5.00918463267043 1.82673189949103e-06 0.00124199460321385 "ENSMUSG00000055022"
"242022" -1.25041938060454 2.07074526018533 1.90978155286599e-06 0.00124199460321385 "ENSMUSG00000037016"
"75677" -1.23092392553999 2.02926305138841 2.62839561608545e-06 0.00161936837273138 "ENSMUSG00000038064"
"170442" -1.2186515333667 1.93370087118851 5.15298017311189e-06 0.00287241837649751 "ENSMUSG00000041660"
"20278" -1.28008249685176 1.52344252938232 6.0122061341912e-06 0.00319904022758373 "ENSMUSG00000000216"
"320452" -1.24302824533194 1.30036308659444 2.44827287756963e-05 0.011687167087172 "ENSMUSG00000051048"
"330941" 1.16150660435207 1.40156414577219 4.40735306766178e-05 0.0198432596192495 "ENSMUSG00000078307"
"263803" -1.10055720812188 1.6612116916345 7.00789304909309e-05 0.0289477393894234 "ENSMUSG00000026785"
"269152" -1.10347214652105 1.57520284404773 7.17140306076609e-05 0.0289477393894234 "ENSMUSG00000026494"
"55983" -1.08102927570192 1.64803346656359 8.88269060652666e-05 0.0341604073967583 "ENSMUSG00000035357"
"232785" -1.04751504665103 1.8170358817311 9.04640892960453e-05 0.0341604073967583 "ENSMUSG00000072653"
