"genes" "logFC" "logCPM" "PValue" "FDR" "EnsID"
"270162" 3.97979938341647 -0.57600969161674 1.63768319414416e-11 2.44505986942253e-07 "ENSMUSG00000041986"
"100039801" -2.01242658287865 1.49301494768303 1.79922724855405e-11 2.44505986942253e-07 "ENSMUSG00000061974"
"140476" 3.24770026489028 -0.46544320462796 2.18351865572506e-10 1.60653817298828e-06 "ENSMUSG00000033498"
"15891" -1.77068240915491 1.77149719912107 2.61332137334151e-10 1.60653817298828e-06 "ENSMUSG00000029306"
"12919" -1.31490941088946 7.93481368462292 2.95547697300909e-10 1.60653817298828e-06 "ENSMUSG00000021680"
"72432" -1.46093211268776 3.3257809671315 4.01293492983686e-10 1.81779264096727e-06 "ENSMUSG00000055561"
"22139" -1.51671665379374 2.59926170439422 1.29015599330488e-09 5.00930710600475e-06 "ENSMUSG00000061808"
"665180" -4.27287503932704 -0.810867832174771 1.69868771153797e-09 5.30444493702198e-06 "ENSMUSG00000079598"
"791357" -3.52098293338045 -0.578525643745086 1.89441591942793e-09 5.30444493702198e-06 NA
"67412" 2.72649855521367 -0.167403726886074 1.95167038412818e-09 5.30444493702198e-06 "ENSMUSG00000038916"
"73010" -2.67889447497935 -0.0755187570036508 3.91820773620831e-09 9.68117891476416e-06 "ENSMUSG00000044067"
"108760" -7.93972462390498 -1.38612299357741 7.04361305958816e-09 1.59531966122122e-05 "ENSMUSG00000021130"
"64176" -2.00304351408911 0.63354321142707 1.72727118614542e-08 3.61119258217279e-05 "ENSMUSG00000053025"
"504186" 2.19260822926514 0.177712657692416 2.33451275164995e-08 4.53212300550672e-05 "ENSMUSG00000066279"
"76294" 4.14083217445171 -1.3332141464196 3.44610470314147e-08 6.2441119817788e-05 "ENSMUSG00000031519"
"17085" -2.38249444025295 -0.0705797460679959 5.22052042993357e-08 8.35931862253986e-05 "ENSMUSG00000004707"
"271970" -1.62830975563683 1.31573968889398 5.22861093429404e-08 8.35931862253986e-05 "ENSMUSG00000046561"
"20698" -1.55608319580534 1.47134770854157 7.77437941347311e-08 0.00011738881004377 "ENSMUSG00000061878"
"14608" -2.17444464803114 0.154427667867746 1.25230218909931e-07 0.000171677796861787 "ENSMUSG00000031932"
"12766" -7.66087529112511 -1.62713584545481 1.26331209287897e-07 0.000171677796861787 "ENSMUSG00000050232"
"14089" -1.43064886189851 1.90388216267851 1.40172738883682e-07 0.000181416898577123 "ENSMUSG00000000392"
"100504518" 4.04167617484814 -1.41872207110518 1.75006693711305e-07 0.000216204860380889 "ENSMUSG00000071540"
"23972" -1.60136273109159 1.20875787919332 1.87335252489923e-07 0.000221373253366244 "ENSMUSG00000024899"
"327956" -1.07435361627368 7.18596763915309 2.46695026734513e-07 0.000279371838817389 "ENSMUSG00000020830"
"269959" 1.65745635059352 0.810352053410615 2.98231979869668e-07 0.000315977349825534 "ENSMUSG00000070469"
"69303" 3.98941964175797 -1.4633788407142 3.02270543267371e-07 0.000315977349825534 "ENSMUSG00000085984"
"57394" -2.1979981048741 -0.00855919013293623 4.41813105047733e-07 0.000444742162299717 "ENSMUSG00000015401"
"27412" 3.28127825752472 -1.18374491398963 5.49458059979415e-07 0.000533347164720733 "ENSMUSG00000070526"
"74075" -1.75507161005415 0.64929136392488 5.93277026868161e-07 0.000542457057628235 "ENSMUSG00000025480"
"216049" 2.40601960651323 -0.549074479090187 6.09386906068059e-07 0.000542457057628235 "ENSMUSG00000037855"
"12395" -1.9164733565694 0.259228562619055 6.18719187110463e-07 0.000542457057628235 "ENSMUSG00000006586"
"23985" -1.03644972626557 6.75463081921825 6.74162326436119e-07 0.000563077418164726 "ENSMUSG00000020651"
"208890" -1.16402304732338 3.12124869210266 7.26475365058872e-07 0.000563077418164726 "ENSMUSG00000040569"
"268481" 7.57187635602316 -1.86834071839109 7.44747824510112e-07 0.000563077418164726 "ENSMUSG00000035849"
"15478" -7.49823177087106 -1.76526830886499 7.44747824510112e-07 0.000563077418164726 "ENSMUSG00000047759"
"269019" 3.48831734724178 -1.37971610116569 7.59981560808665e-07 0.000563077418164726 "ENSMUSG00000039954"
"269109" -1.47987200128525 1.31491321340421 7.75618830567606e-07 0.000563077418164726 "ENSMUSG00000036815"
"319776" -1.24367402593443 2.38124737585239 7.87260086473365e-07 0.000563077418164726 "ENSMUSG00000048108"
"20377" -1.03730878181917 5.49010074714203 9.47453996776985e-07 0.000660278260984658 "ENSMUSG00000031548"
"80979" 1.5755154281676 0.84364249872188 9.80301110762844e-07 0.000666090097235584 "ENSMUSG00000029015"
"75369" -2.84874080627348 -0.850447601171529 1.33120745835087e-06 0.000876973702022636 "ENSMUSG00000105773"
"22295" 7.50186610351167 -1.92915300292749 1.35519686099381e-06 0.000876973702022636 "ENSMUSG00000012819"
"229933" -1.39523074967536 1.40235813587189 1.58621757601248e-06 0.0010026001743824 "ENSMUSG00000036960"
"14275" -1.77124729378924 0.39975747785042 1.87972580680923e-06 0.00115383774514027 "ENSMUSG00000001827"
"12805" -1.01710567379927 5.00253147808782 1.91039767950669e-06 0.00115383774514027 "ENSMUSG00000055022"
"242022" -1.244406827324 2.06120552845672 2.12240488677187e-06 0.00125401831342549 "ENSMUSG00000037016"
"246177" -3.7315248058796 -1.27153814676443 2.39989448987512e-06 0.0013878028157514 "ENSMUSG00000020437"
"209540" 7.42828438426921 -1.99253504380074 2.47519426677382e-06 0.00140152718701345 "ENSMUSG00000085584"
"12007" 2.59022389948681 -0.8336791200065 2.72407341209775e-06 0.0015109712503552 "ENSMUSG00000037053"
"12931" -2.34825061216212 -0.482655209374836 2.80339504356252e-06 0.00152386947777971 "ENSMUSG00000007888"
"75677" -1.2247527904748 2.01963035906056 3.61511461228077e-06 0.00192657254994469 "ENSMUSG00000038064"
"328789" 1.68885744278531 0.338676770560412 3.86049535831406e-06 0.00197970572346449 "ENSMUSG00000062252"
"72049" 3.69530504339153 -1.70908606367641 4.81199651377896e-06 0.00230784592375319 "ENSMUSG00000068105"
"21923" 3.69530504339153 -1.70908606367641 4.81199651377896e-06 0.00230784592375319 "ENSMUSG00000028364"
"330305" 3.69530504339153 -1.70908606367641 4.81199651377896e-06 0.00230784592375319 "ENSMUSG00000052730"
"170743" -1.90200244387771 0.0262277004267037 4.84003155575746e-06 0.00230784592375319 "ENSMUSG00000044583"
"329152" -1.71418196821974 0.357078352790446 5.13557963460851e-06 0.00240655032567284 "ENSMUSG00000042807"
"226245" -2.96187828169243 -1.043729862374 5.56613389879894e-06 0.00252855601101253 "ENSMUSG00000035818"
"170442" -1.21212885600142 1.92383781292288 5.7580285153372e-06 0.00252855601101253 "ENSMUSG00000041660"
"64293" -1.96905610238257 -0.092585520283801 5.76807361134614e-06 0.00252855601101253 "ENSMUSG00000029123"
"100503338" 1.85710341925919 -0.0813954357634958 5.76807361134614e-06 0.00252855601101253 NA
"102680" -2.55932358039287 -0.846991182944378 6.24408813096423e-06 0.00269377890970598 "ENSMUSG00000036814"
"109889" -2.19800552813341 -0.460296306238353 6.58385798210285e-06 0.0027529642476242 "ENSMUSG00000030380"
"234673" -2.19800552813341 -0.460296306238353 6.58385798210285e-06 0.0027529642476242 "ENSMUSG00000031886"
"67516" -2.38624603721411 -0.608261941149807 7.29297474439417e-06 0.00300326909966499 "ENSMUSG00000046523"
"76964" -7.24821213018964 -1.97367769346193 8.35118065638394e-06 0.00338771252328148 "ENSMUSG00000009114"
"100502869" -2.88814070913031 -1.10306514784511 8.72276393327801e-06 0.0034512951550834 NA
"640524" 1.90240479268311 -0.261371262187886 8.76188843227326e-06 0.0034512951550834 "ENSMUSG00000074899"
"224129" -1.82006010250375 0.042171604631884 9.03860531541931e-06 0.00346167454097797 "ENSMUSG00000022840"
"20278" -1.27189350049621 1.51237452009058 9.042970396609e-06 0.00346167454097797 "ENSMUSG00000000216"
"20745" 1.38973946708438 0.880724138219888 9.50515830438486e-06 0.00358806524381773 "ENSMUSG00000056222"
"15233" -1.98781957054273 -0.171500129747634 1.00222510813119e-05 0.00373143509779418 "ENSMUSG00000022821"
"19886" -3.6027768845814 -1.37777638596892 1.05673946854898e-05 0.00388123270482336 "ENSMUSG00000019893"
"338368" 1.34814611139722 0.979473124762884 1.34518535342299e-05 0.00481063062114256 "ENSMUSG00000049687"
"100503685" 2.30790382274944 -0.897629081592836 1.43017657656199e-05 0.00498302751720212 NA
"20450" 1.50493960036876 0.454243503294847 1.43798074289766e-05 0.00498302751720212 "ENSMUSG00000025789"
"72668" -1.50407231765181 0.60064952975138 1.44839462032808e-05 0.00498302751720212 "ENSMUSG00000054074"
"68144" 1.76661754474753 -0.0839490011325225 1.49311505817045e-05 0.00505216756330908 NA
"239845" 2.12012324672849 -0.653152912195519 1.54071502824503e-05 0.00505216756330908 "ENSMUSG00000046961"
"20308" -7.17829720141418 -2.03103539470121 1.54284523990822e-05 0.00505216756330908 "ENSMUSG00000019122"
"217593" -7.17829720141418 -2.03103539470121 1.54284523990822e-05 0.00505216756330908 "ENSMUSG00000035472"
"245446" -3.55717452366066 -1.41506575138766 1.73427011490597e-05 0.00554506062929179 "ENSMUSG00000046699"
"80903" -3.55717452366066 -1.41506575138766 1.73427011490597e-05 0.00554506062929179 "ENSMUSG00000031230"
"11444" -2.6477589564532 -1.0113026564931 1.76490849643878e-05 0.00554506062929179 "ENSMUSG00000027950"
"18973" 1.82498445124041 -0.244264363326859 1.77497433587838e-05 0.00554506062929179 "ENSMUSG00000007080"
"435653" 1.47617911392966 0.54368685102229 1.80921102778701e-05 0.00558778937775263 "ENSMUSG00000070524"
"14063" -1.41254688749024 0.77401079815434 2.08935681641375e-05 0.00638052010261902 "ENSMUSG00000021678"
"18164" 2.61978486491486 -1.19189643811869 2.14196687761747e-05 0.00646850197408503 "ENSMUSG00000025582"
"246049" 1.39922851567327 0.686709666268141 2.17379638369251e-05 0.00649248482553613 "ENSMUSG00000020264"
"212517" -2.1911073971901 -0.605123144951131 2.4745407076173e-05 0.00731038498829679 "ENSMUSG00000071550"
"20451" 3.4849435762153 -1.87844716502464 2.5995139788154e-05 0.00759700972367996 "ENSMUSG00000056812"
"320452" -1.2335997922667 1.28848870821254 2.84402057942745e-05 0.00800369049146046 "ENSMUSG00000051048"
"332396" -3.51008352852454 -1.45337949301894 2.84736846914445e-05 0.00800369049146046 "ENSMUSG00000040901"
"245578" -7.10482077440814 -2.09085300177294 2.86151638512891e-05 0.00800369049146046 "ENSMUSG00000034755"
"15366" 2.1001627874858 -0.78617975481453 2.91205658924583e-05 0.00800369049146046 "ENSMUSG00000020330"
