"genes" "logFC" "logCPM" "PValue" "FDR" "EnsID"
"270162" 3.98202049193217 -0.575059859340048 1.63768319414416e-11 1.38027718372824e-07 "ENSMUSG00000041986"
"100039801" -2.01017276588413 1.49281990873276 1.79922724855405e-11 1.38027718372824e-07 "ENSMUSG00000061974"
"140476" 3.24993561424592 -0.464524969838863 2.18351865572506e-10 9.70378859332402e-07 "ENSMUSG00000033498"
"15891" -1.76842765464507 1.77134272011681 3.03051119218244e-10 9.70378859332402e-07 "ENSMUSG00000029306"
"12919" -1.31265200660175 7.93472936051261 3.16228527449782e-10 9.70378859332402e-07 "ENSMUSG00000021680"
"72432" -1.45867547903819 3.32567005746632 4.25323168407986e-10 1.08762222881396e-06 "ENSMUSG00000055561"
"22139" -1.51446057714156 2.59914732852068 1.29015599330488e-09 2.82783762932525e-06 "ENSMUSG00000061808"
"791357" -3.51876173794458 -0.578698009300947 1.89441591942793e-09 3.32716430040874e-06 NA
"67412" 2.72874234284117 -0.166490568250623 1.95167038412818e-09 3.32716430040874e-06 "ENSMUSG00000038916"
"665180" -4.27068631661023 -0.811038402693953 2.72685852457554e-09 4.18381903425625e-06 "ENSMUSG00000079598"
"73010" -2.67665253318908 -0.0756879259408918 5.56749616156045e-09 7.76564487334745e-06 "ENSMUSG00000044067"
"108760" -7.93872724722612 -1.38623713556439 7.04361305958816e-09 9.00584626443843e-06 "ENSMUSG00000021130"
"64176" -2.00079273026296 0.633404329729907 1.72727118614542e-08 2.03857860069455e-05 "ENSMUSG00000053025"
"504186" 2.19485726869078 0.17859500086928 2.33451275164995e-08 2.55845922489752e-05 "ENSMUSG00000066279"
"76294" 4.14301986447366 -1.33241919053383 3.44610470314147e-08 3.52490563068664e-05 "ENSMUSG00000031519"
"17085" -2.38025026673864 -0.0707138450646887 5.22052042993357e-08 4.71897515087491e-05 "ENSMUSG00000004707"
"271970" -1.62605581753176 1.31563828506359 5.22861093429404e-08 4.71897515087491e-05 "ENSMUSG00000046561"
"20698" -1.55382880800407 1.47125702004458 7.77437941347311e-08 6.62679463005099e-05 "ENSMUSG00000061878"
"100504518" 4.04386353573784 -1.41795013807483 1.01568290482633e-07 8.20190674144755e-05 "ENSMUSG00000071540"
"14608" -2.17219738713062 0.154300376709642 1.25230218909931e-07 9.22999878144857e-05 "ENSMUSG00000031932"
"12766" -7.65987878446434 -1.62720708191706 1.26331209287897e-07 9.22999878144857e-05 "ENSMUSG00000050232"
"14089" -1.42839357286953 1.90380880597258 1.40172738883682e-07 9.77577423951059e-05 "ENSMUSG00000000392"
"23972" -1.59910903007972 1.20866776840989 1.87335252489923e-07 0.000124968903432734 "ENSMUSG00000024899"
"327956" -1.07209622946993 7.18596317888332 2.61090400950997e-07 0.000166912917574631 "ENSMUSG00000020830"
"269959" 1.65970937644973 0.811190739697982 2.98231979869668e-07 0.000178374497898126 "ENSMUSG00000070469"
"69303" 3.99160681987122 -1.46261892992936 3.02270543267371e-07 0.000178374497898126 "ENSMUSG00000085984"
"57394" -2.19575225778649 -0.00867441608813877 4.41813105047733e-07 0.000251064387805458 "ENSMUSG00000015401"
"27412" 3.28349770114129 -1.18296429135039 5.49458059979415e-07 0.000301083393366577 "ENSMUSG00000070526"
"74075" -1.75282009091072 0.649198942036449 5.93277026868161e-07 0.000306226080252769 "ENSMUSG00000025480"
"216049" 2.4082615799511 -0.54826384063185 6.09386906068059e-07 0.000306226080252769 "ENSMUSG00000037855"
"12395" -1.91422431173028 0.25913416216985 6.18719187110463e-07 0.000306226080252769 "ENSMUSG00000006586"
"23985" -1.03419235571372 6.7546396414668 7.12102397012285e-07 0.0003216302626324 "ENSMUSG00000020651"
"208890" -1.16176645109995 3.12123008339662 7.26475365058872e-07 0.0003216302626324 "ENSMUSG00000040569"
"268481" 7.57312573615735 -1.86762048909477 7.44747824510112e-07 0.0003216302626324 "ENSMUSG00000035849"
"15478" -7.49723585495612 -1.76531558147268 7.44747824510112e-07 0.0003216302626324 "ENSMUSG00000047759"
"269019" 3.49052545273312 -1.37896287058679 7.59981560808665e-07 0.0003216302626324 "ENSMUSG00000039954"
"269109" -1.47761787666198 1.31484775027189 7.75618830567606e-07 0.0003216302626324 "ENSMUSG00000036815"
"319776" -1.24141803301826 2.38121541644218 8.61261567823641e-07 0.000347745690397845 "ENSMUSG00000048108"
"80979" 1.57776866604876 0.844464352367906 9.80301110762844e-07 0.000383388622370895 "ENSMUSG00000029015"
"20377" -1.03505150232223 5.49011099234648 9.99514103815148e-07 0.000383388622370895 "ENSMUSG00000031548"
"75369" -2.84651364463881 -0.85053544271878 1.33120745835087e-06 0.00049816380569457 "ENSMUSG00000105773"
"14275" -1.76899698629483 0.399678908225973 1.87972580680923e-06 0.000686681739377954 "ENSMUSG00000001827"
"12805" -1.01484845589303 5.00254976229941 2.01185044313656e-06 0.000717856310442889 "ENSMUSG00000055022"
"242022" -1.24215119789932 2.06118003711988 2.12240488677187e-06 0.000739681457170981 "ENSMUSG00000037016"
"229933" -1.39297633464729 1.4023107038014 2.16943658819619e-06 0.000739681457170981 "ENSMUSG00000036960"
"246177" -3.72933732343076 -1.27161563301199 2.39989448987512e-06 0.000800469155612044 "ENSMUSG00000020437"
"12007" 2.59246065883265 -0.8328939108713 2.72407341209775e-06 0.000889265071527995 "ENSMUSG00000037053"
"12931" -2.34601086165041 -0.482740030694579 2.80339504356252e-06 0.000896093544862077 "ENSMUSG00000007888"
"75677" -1.22249720313668 2.01961150161771 3.61511461228077e-06 0.00113197354073926 "ENSMUSG00000038064"
"328789" 1.69110866601032 0.339479508222522 3.86049535831406e-06 0.00118463160565225 "ENSMUSG00000062252"
"72049" 3.6974910596321 -1.70839196318636 4.81199651377896e-06 0.00135019280290885 "ENSMUSG00000068105"
"21923" 3.6974910596321 -1.70839196318636 4.81199651377896e-06 0.00135019280290885 "ENSMUSG00000028364"
"330305" 3.6974910596321 -1.70839196318636 4.81199651377896e-06 0.00135019280290885 "ENSMUSG00000052730"
"170743" -1.89975488746987 0.0261550503551115 4.84003155575746e-06 0.00135019280290885 "ENSMUSG00000044583"
"329152" -1.71193171521709 0.357013767924972 5.13557963460851e-06 0.00140705711310354 "ENSMUSG00000042807"
