Geneid	Length	SRR11206238	SRR11206239
497097	3634	4	3
100503874	3259	4	4
100038431	1634	0	0
19888	9747	5	13
20671	3130	925	766
27395	4203	1850	1580
18777	2433	4665	3963
100503730	799	2	5
21399	2847	1337	1199
58175	2241	22	16
108664	1976	8318	7102
18387	4707	0	0
226304	3692	0	0
12421	7046	4267	3419
620393	858	0	0
240690	6161	13	0
319263	5232	15385	13406
71096	4193	4	0
59014	2048	642	647
76187	3139	1154	1054
72481	1246	22	18
76982	3187	211	159
17864	3564	35	26
70675	5179	2083	1532
73331	1494	10	3
170755	5622	8319	6247
620986	451	24	30
240697	2553	0	0
73824	407	115	74
266793	74	8	5
100038398	2646	76	62
100039596	501	6	14
69312	1502	10	4
26754	1240	3347	2815
211660	4354	597	466
211673	7042	3562	3031
329093	1930	241	173
109294	11187	385	299
320492	8293	61	28
329096	3200	0	0
240725	4864	13420	10171
240726	8512	25	6
383491	2593	0	0
17978	8213	1411	1438
72265	2888	18074	15956
212442	1889	2807	2428
381246	1926	0	6
433273	1245	10	18
14048	4345	4308	3363
17681	1717	0	0
277328	4263	0	0
98741	5309	50	25
21749	1633	784	655
226866	2748	2641	2045
665434	572	0	0
75799	717	4	6
19989	934	1155	977
98711	2295	760	510
29819	2890	4091	2970
66799	2354	3159	2915
67923	955	4179	3738
329101	2788	0	0
70397	1732	3645	3149
17087	603	482	413
57339	4809	60	29
14545	3938	25	16
94227	6923	47	15
83691	4006	33	48
78081	1192	0	0
654454	222	0	0
654460	258	0	0
77673	469	0	0
654464	256	0	0
226896	1753	0	0
21419	6391	8	0
241035	12928	4	1
75028	786	0	0
387202	73	0	0
723817	119	0	0
16171	1171	0	0
257630	1178	2	0
17215	2886	807	639
77741	1120	8	0
74229	4420	2418	1866
71877	2208	182	141
170829	1409	49	62
75712	1112	1210	991
14859	1450	29	12
241041	1148	0	0
368204	1950	0	0
433278	844	0	0
98582	2247	1	0
226922	6980	46	70
116837	4066	4	2
66755	1781	0	0
387225	71	0	0
723964	84	0	0
70155	4844	962	737
100503399	1522	0	0
280645	4362	27	17
98366	2259	1866	1449
68002	667	2440	2163
68187	6467	2556	2142
12839	3888	416	289
12823	10542	12	15
68421	5392	11023	9122
210933	5522	4	0
100504323	1551	0	0
210940	4331	0	0
433281	2004	0	0
665903	467	81	93
210962	2882	2	0
623924	306	0	0
791350	1160	0	0
213109	7561	1665	1168
19243	4129	1194	958
70988	1094	0	0
266744	1903	4	5
74708	1449	0	0
226957	914	0	0
624262	762	12	11
170771	1359	0	0
408192	1437	0	0
408191	3748	0	0
19076	1937	227	162
67503	889	67	24
19335	4487	948	756
213539	1815	678	384
98403	3650	1689	1422
433287	3016	86	69
320705	2292	528	368
13518	23242	1365	939
100628580	79	2	0
69668	1705	834	621
27993	2249	2010	1541
52318	3559	704	638
19253	1578	972	614
21755	1246	0	0
12627	1038	2	0
21756	1301	0	0
211383	4356	0	0
241051	2676	0	0
226970	2714	71	66
214469	5080	5593	4644
226971	5469	25026	20502
50785	3719	3158	2594
320011	9029	4486	3455
214854	2583	94	61
214855	5699	1409	1064
226976	4663	6402	5048
214895	2225	4739	3906
94220	4582	686	587
94218	5283	1372	814
78321	1954	8862	5750
109346	1786	2149	1489
20353	3805	1074	745
381337	2577	46	38
12859	569	5587	4237
226977	2077	7029	5531
71166	1127	4	10
22637	2180	6	10
56030	6548	1987	1647
70853	4422	62	38
12790	3498	0	0
269180	6817	495	606
76178	3862	11956	9459
67387	1412	7861	6245
269181	7054	3372	2957
77633	2755	21	10
100861893	736	0	0
72097	4361	3810	2849
100503734	2218	26	9
211484	3400	378	298
623661	1555	207	215
69028	1229	915	731
107734	691	2071	1681
332427	2564	2	2
69541	798	0	0
98258	4596	2669	2236
226982	7797	2805	2782
56210	4262	1647	1306
16764	6010	3843	3460
381338	5077	49	48
98388	3120	335	295
100503760	2386	8	6
433292	1001	0	0
68833	1706	3292	2648
18143	4180	98	62
114641	1254	159	94
54610	4440	899	569
52846	3170	1417	1074
100217461	94	8	13
67702	2434	15668	13020
263764	5799	1232	772
619289	2000	19	5
100042065	359	0	0
73426	531	0	0
26921	5974	1614	1277
100047133	858	10	2
16178	1343	8	4
16177	5035	151	101
107527	1950	15	20
17082	6967	5	2
16182	4781	632	556
16174	2487	4	1
110895	3822	1433	956
226999	3493	5031	3926
211798	3152	915	540
381339	1096	42	22
74897	573	0	0
66297	546	2265	1983
18993	3065	497	441
73100	2841	212	198
69527	1419	1596	1130
93690	3860	1	0
73122	5538	2075	1693
98404	3457	3726	3043
14200	1563	348	246
666642	647	98	67
17974	2775	4084	3392
100861934	1421	0	0
78896	888	278	278
67883	1263	595	545
100503192	585	393	329
22019	4649	2611	2106
433294	1086	4	0
75623	1265	732	481
72050	2324	1409	968
246229	3571	914	751
22592	4010	1037	851
100861960	766	2	0
403183	3181	0	0
70676	2976	1504	1380
75066	906	2	4
12825	5564	544	357
12832	6615	376	319
73674	2612	1453	1053
433297	641	346	264
53945	3380	1064	744
100042453	717	0	0
212225	3483	0	0
227058	12318	70	55
100101919	12384	18	7
227059	4961	2777	2640
442837	542	0	0
56363	3339	113	137
442821	2552	0	2
20324	3055	2816	2056
109019	2838	8159	6531
100045066	3051	101	98
17912	5042	1702	1353
20849	2981	12	0
100042634	432	2	0
20846	5356	7048	5839
14660	7488	5644	4335
17936	5088	7688	5688
227094	3394	272	251
98682	5591	10173	8057
16329	1776	1015	742
227095	1704	1400	1370
67080	834	618	441
17700	2682	0	0
69397	627	0	0
227099	3032	685	518
227102	1846	3149	2702
72085	2283	847	939
70396	2362	2159	1652
627872	12272	4	9
98267	3278	805	570
329152	11336	99	24
78016	3807	9	3
98488	3005	1575	1274
241062	10579	297	269
329154	6140	1326	1302
81898	6192	14455	12340
67876	1733	2129	1445
15510	2332	3614	3050
15528	768	1060	890
19070	2826	3412	3045
74013	3677	1560	1222
212679	2882	342	257
75388	1258	2	0
227120	6555	253	167
626009	1369	124	99
329159	1906	0	0
71066	1408	0	0
212712	5286	32	10
329160	3728	10	5
407809	3304	22	12
75323	2052	0	6
73467	3008	1322	1098
68736	1442	910	763
68115	1325	719	578
67198	4045	1180	604
51960	2733	559	532
68549	5416	31	28
11761	4382	1014	702
71724	4360	25	56
71872	4973	26	2
213043	4776	30	12
66882	2833	8881	6926
12747	3088	7644	6651
70225	1630	1095	883
65102	2105	1538	1235
18393	3371	2091	1643
100504455	2126	18	22
213056	8695	1691	1357
66495	532	4881	4263
100504501	936	58	54
108812	1579	2	0
12633	7814	5884	4489
12370	2777	1741	1597
70827	6240	12263	9436
227154	2318	2048	1718
73463	2131	4	0
381259	1972	1942	1707
227157	3087	22	21
74018	7038	1033	875
271697	1477	4	0
14369	4809	1277	867
381260	3595	646	557
22218	1215	3453	3061
55989	1976	1202	968
100217459	53	3	2
100217421	63	2	0
12168	3507	205	124
100504533	314	216	185
72750	5532	1150	914
70375	3650	22	2
57750	3376	1216	1015
241066	2604	163	120
100504573	431	4	1
269198	12108	1612	1521
77951	1501	952	615
329165	5974	1876	1402
